step,vehicles,avg_speed,avg_waiting,queue_length,signal_phase
110,93,10.995758560058599,0.7849462365591398,8,0
111,93,11.444931516300962,0.7204301075268817,5,0
112,93,11.678678151681776,0.7741935483870968,6,0
113,95,11.68669240365655,0.8105263157894737,7,0
114,96,11.699187202012192,0.8541666666666666,6,0
115,96,11.546928115917497,0.90625,6,0
116,97,11.377690580862161,0.9484536082474226,6,0
117,97,11.338134022923674,1.0103092783505154,7,0
118,97,11.176157883165386,1.092783505154639,9,0
119,98,11.087424088606356,1.1428571428571428,8,0
120,98,10.806566773699227,0.9081632653061225,7,0
121,99,10.710525014037486,0.8080808080808081,7,0
122,100,10.714029106533605,0.57,7,0
123,101,10.655333665068662,0.2871287128712871,5,0
124,102,11.005059579663603,0.13725490196078433,4,0
125,103,11.1361043215828,0.08737864077669903,3,0
126,104,11.225319244323675,0.11538461538461539,4,0
127,102,11.558805639341665,0.14705882352941177,3,0
128,103,11.701041639006469,0.0970873786407767,3,0
129,103,11.936409683221129,0.038834951456310676,2,0
130,105,11.937971334053321,0.05714285714285714,4,0
131,104,11.851073055984488,0.0673076923076923,3,0
132,105,11.796351759093604,0.0761904761904762,3,0
133,105,11.631071725520279,0.08571428571428572,3,0
134,106,11.454750922193686,0.10377358490566038,3,0
135,106,11.61612877569006,0.1320754716981132,3,0
136,106,11.448541247306556,0.14150943396226415,3,0
137,107,11.060382548902412,0.16822429906542055,4,0
138,109,10.675742105000225,0.1743119266055046,4,0
139,110,10.953772721314657,0.08181818181818182,4,0
140,111,11.223139300466315,0.11711711711711711,5,0
141,111,11.350808493531405,0.16216216216216217,6,0
142,110,11.542032272432431,0.17272727272727273,5,0
143,110,11.36951088837236,0.20909090909090908,5,0
144,111,11.133539344859505,0.08108108108108109,3,0
145,112,11.10637217757116,0.044642857142857144,2,0
146,112,11.089642773241533,0.07142857142857142,3,0
147,112,11.055982109277023,0.044642857142857144,4,0
148,112,11.099336761054683,0.0625,4,0
